"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 12","Acesso","SPA 501/425","3,572","10","-22,435299","-51,685672"
"DR 12","Acesso","SPA 569/294","3,581","4","-21,741719","-50,860903"
"DR 12","Acesso","SPA 051/563","3,582","8","-22,107236","-51,960081"
"DR 12","Acesso","SP 563","3,587","8","-22,490181","-52,139958"
"DR 12","Acesso","SPA 141/563","3,588","4","-21,364381","-51,608172"
"DR 12","Acesso","SPA 126/563","3,614","4","-21,504438","-51,602333"
"DR 12","Acesso","SP 563","3,617","4","-22,489965","-52,13977"
"DR 12","Acesso","SPA 126/563","3,623","4","-21,504354","-51,602235"
"DR 12","Acesso","SP 272","3,627","4","-22,272294","-51,547026"
"DR 12","Acesso","SPA 501/425","3,651","6","-22,435144","-51,686489"
"DR 12","Acesso","SPA 488/425","3,654","4","-22,383072","-51,547429"
"DR 12","Acesso","SPA 126/563","3,755","4","-21,50473","-51,600995"
"DR 12","Acesso","SPA 127/563","3,766","4","-21,4947","-51,671632"
"DR 12","Acesso","SP 613","3,782","4","-22,540558","-52,196493"
"DR 12","Acesso","SPA 041/613","3,794","4","-22,519884","-52,571738"
"DR 12","Acesso","SPA 001/563","3,803","8","-22,511993","-52,116216"
"DR 12","Acesso","SPA 001/563","3,813","4","-22,511869","-52,11618"
"DR 12","Acesso","SPA 127/563","3,824","12","-21,494832","-51,672177"
"DR 12","Acesso","SP 613","3,832","4","-22,540637","-52,197028"
"DR 12","Acesso","SP 501","3,834","4","-22,157496","-51,440446"
"DR 12","Acesso","SP 272","3,837","8","-22,27253","-51,549092"
"DR 12","Acesso","SP 501","3,844","4","-22,157451","-51,440616"
"DR 12","Acesso","SP 563","3,867","4","-22,487853","-52,139011"
"DR 12","Acesso","SP 613","3,912","4","-22,540909","-52,197734"
"DR 12","Acesso","SPA 126/563","3,917","8","-21,504971","-51,599471"
"DR 12","Acesso","SP 613","3,921","4","-22,541049","-52,19777"
"DR 12","Acesso","SPA 141/563","3,922","4","-21,361701","-51,609648"
"DR 12","Acesso","SP 563","3,957","8","-22,487035","-52,138841"
"DR 12","Acesso","SPA 056/272","3,973","8","-22,272315","-52,079317"
"DR 12","Acesso","SP 501","3,973","4","-22,156323","-51,441042"
"DR 12","Acesso","SP 501","4,033","4","-22,155849","-51,441386"
"DR 12","Acesso","SP 613","4,051","4","-22,541489","-52,198935"
"DR 12","Acesso","SP 272","4,057","8","-22,272529","-51,551226"
"DR 12","Acesso","SPA 126/563","4,059","4","-21,505376","-51,598123"
"DR 12","Acesso","SP 501","4,063","4","-22,155606","-51,441507"
"DR 12","Acesso","SP 501","4,083","4","-22,155397","-51,441469"
"DR 12","Acesso","SPA 501/425","4,091","10","-22,433529","-51,690377"
"DR 12","Acesso","SPA 141/563","4,095","4","-21,360327","-51,610404"
"DR 12","Acesso","SP 457","4,143","8","-22,671289","-51,125332"
"DR 12","Acesso","SPA 126/563","4,274","4","-21,505815","-51,59615"
"DR 12","Acesso","SPA 141/563","4,278","4","-21,358844","-51,61105"
"DR 12","Acesso","SP 563","4,287","8","-22,48423","-52,137712"
"DR 12","Acesso","SP 272","4,326","4","-22,272673","-51,553892"
"DR 12","Acesso","SP 457","4,332","4","-22,669637","-51,124828"
"DR 12","Acesso","SPA 041/613","4,334","4","-22,524345","-52,573889"
"DR 12","Acesso","SP 272","4,336","8","-22,272804","-51,553909"
"DR 12","Acesso","SPA 141/563","4,353","4","-21,358323","-51,611518"
"DR 12","Acesso","SPA 041/613","4,401","4","-22,524919","-52,574019"
"DR 12","Acesso","SPA 126/563","4,445","4","-21,506075","-51,594493"
"DR 12","Acesso","SPA 041/613","4,448","4","-22,525257","-52,574328"
"DR 12","Acesso","SP 501","4,472","4","-22,152216","-51,442974"
"DR 12","Acesso","SPA 126/563","4,54","8","-21,506273","-51,593584"
"DR 12","Acesso","SPA 488/425","4,567","4","-22,389962","-51,542725"
"DR 12","Acesso","SPA 056/272","4,569","8","-22,272891","-52,085096"
"DR 12","Acesso","SPA 141/563","4,603","4","-21,356317","-51,61261"
"DR 12","Acesso","SP 613","4,65","8","-22,543462","-52,204319"
"DR 12","Acesso","SPA 127/563","4,677","4","-21,492239","-51,679923"
"DR 12","Acesso","SPA 141/563","4,695","4","-21,355506","-51,612907"
"DR 12","Acesso","SPA 041/613","4,77","8","-22,527955","-52,575472"
"DR 12","Acesso","SPA 501/425","4,828","6","-22,432369","-51,697231"
"DR 12","Acesso","SPA 041/613","4,829","4","-22,528398","-52,575847"
"DR 12","Acesso","SPA 501/425","4,847","6","-22,432605","-51,697371"
"DR 12","Acesso","SP 483","4,86","4","-22,333013","-51,286908"
"DR 12","Acesso","SPA 126/563","4,871","8","-21,506988","-51,590502"
"DR 12","Acesso","SP 613","4,88","8","-22,544293","-52,206399"
"DR 12","Acesso","SP 457","4,881","4","-22,664979","-51,123047"
"DR 12","Acesso","SP 457","4,891","8","-22,664953","-51,122904"
"DR 12","Acesso","SPA 074/613","4,91","8","-22,550574","-52,860738"
"DR 12","Acesso","SPA 126/563","4,95","4","-21,507323","-51,589753"
"DR 12","Acesso","SPA 074/613","4,96","6","-22,550969","-52,86058"
"DR 12","Acesso","SPA 141/563","5,008","4","-21,353224","-51,614744"
"DR 12","Acesso","SPA 488/425","5,027","8","-22,393431","-51,540281"
"DR 12","Acesso","SPA 127/563","5,096","4","-21,490868","-51,683719"
"DR 12","Acesso","SPA 127/563","5,126","4","-21,490777","-51,683989"
"DR 12","Acesso","SPA 041/613","5,168","8","-22,531197","-52,577197"
"DR 12","Acesso","SPA 127/563","5,176","5","-21,490747","-51,684478"
"DR 12","Acesso","SPA 126/563","5,251","8","-21,508192","-51,586991"
"DR 12","Acesso","SPA 001/563","5,257","12","-22,511271","-52,102162"
"DR 12","Acesso","SPA 126/563","5,26","4","-21,50809","-51,586941"
"DR 12","Acesso","SPA 001/563","5,287","8","-22,511154","-52,101825"
"DR 12","Acesso","SP 613","5,339","4","-22,545888","-52,210524"
"DR 12","Acesso","SP 483","5,389","4","-22,337646","-51,288187"
"DR 12","Acesso","SPA 056/272","5,54","12","-22,273398","-52,094562"
"DR 12","Acesso","SPA 488/425","5,562","8","-22,397463","-51,537461"
"DR 12","Acesso","SP 501","5,566","4","-22,143123","-51,447053"
